"id","Age","Coding","LastMaths"
1,25,"Yes","Less than one year ago"
2,21,"No",NA
3,18,"No","1-4 years ago"
4,18,"No","Less than one year ago"
5,19,"No","1-4 years ago"
6,18,"No","Less than one year ago"
7,19,"No","1-4 years ago"
8,18,"No","Less than one year ago"
9,18,"No","Less than one year ago"
10,19,"No","Less than one year ago"
11,18,"Yes","Less than one year ago"
12,18,"No","Less than one year ago"
13,20,"No","Less than one year ago"
14,20,"Yes","Less than one year ago"
15,19,"No","1-4 years ago"
16,19,"No","1-4 years ago"
17,18,"No","Less than one year ago"
18,18,"No","1-4 years ago"
19,18,"No","1-4 years ago"
20,19,"No","1-4 years ago"
21,18,"No","Less than one year ago"
22,17,"No","Less than one year ago"
23,18,"Yes","1-4 years ago"
24,18,"Yes","Less than one year ago"
25,20,"No","1-4 years ago"
26,NA,"",NA
27,20,"Yes","Less than one year ago"
28,18,"No","Less than one year ago"
29,22,"Yes","1-4 years ago"
30,17,"No","Less than one year ago"
31,18,"Yes","Less than one year ago"
32,17,"No","Less than one year ago"
33,18,"No","1-4 years ago"
34,19,"No","1-4 years ago"
35,19,"Yes","Less than one year ago"
36,18,"Yes","Less than one year ago"
37,19,"No","Less than one year ago"
38,19,"No","1-4 years ago"
39,18,"Yes","Less than one year ago"
40,18,"No","1-4 years ago"
41,18,"No","1-4 years ago"
42,18,"No","Less than one year ago"
43,19,"No","Less than one year ago"
44,18,"No","Less than one year ago"
45,17,"No","Less than one year ago"
46,19,"No","1-4 years ago"
47,18,"No","Less than one year ago"
48,18,"Yes","Less than one year ago"
49,19,"No","Less than one year ago"
50,18,"Yes","Less than one year ago"
51,18,"No","Less than one year ago"
52,18,"No","Less than one year ago"
53,20,"No","Less than one year ago"
54,18,"No","Less than one year ago"
55,18,"No","Less than one year ago"
56,18,"Yes","1-4 years ago"
57,18,"No","Less than one year ago"
58,21,"No","1-4 years ago"
59,18,"No","Less than one year ago"
60,18,"No","Less than one year ago"
61,19,"No","Less than one year ago"
62,19,"No","Less than one year ago"
63,17,"No","Less than one year ago"
64,18,"No","1-4 years ago"
65,21,"No","Less than one year ago"
66,18,"Yes","Less than one year ago"
67,18,"No","Less than one year ago"
68,18,"Yes","Less than one year ago"
69,19,"No","1-4 years ago"
70,19,"No","1-4 years ago"
71,18,"No","Less than one year ago"
72,18,"No","1-4 years ago"
73,19,"No","1-4 years ago"
74,18,"No","Less than one year ago"
75,18,"No","Less than one year ago"
76,18,"No","Less than one year ago"
77,18,"Yes","1-4 years ago"
78,18,"Yes","Less than one year ago"
79,18,"Yes","Less than one year ago"
80,18,"No","Less than one year ago"
81,19,"No","Less than one year ago"
